City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
460,castillos,-34.1667,-53.8333,52.74,66,76,5.12,UY,1714770845
461,galle,6.0367,80.217,83.05,83,17,3.02,LK,1714770846
462,shashi,30.3072,112.2447,55.56,94,100,9.33,CN,1714770550
463,pisco,-13.7,-76.2167,71.65,78,0,14.97,PE,1714770846
464,sola,-13.8833,167.55,82.44,81,87,24.45,VU,1714770847
465,lata,40.1629,-8.3327,59.07,91,100,4.18,PT,1714770847
466,severo-yeniseyskiy,60.3725,93.0408,19.58,97,95,4.0,RU,1714770848
467,pierre,44.3683,-100.351,43.86,87,100,10.36,US,1714770849
468,san luis de la loma,17.2706,-100.8939,87.21,52,3,10.13,MX,1714770849
469,shihezi,44.3,86.0333,63.07,19,62,4.09,CN,1714770850
470,luwuk,-0.9516,122.7875,72.81,99,100,3.02,ID,1714770851
471,xilin hot,43.9667,116.0333,59.07,34,100,13.8,CN,1714770851
472,san pedro,14.35,121.0167,82.31,78,20,5.99,PH,1714770852
473,oulad teima,30.3947,-9.209,61.88,68,10,5.5,MA,1714770852
474,onega,63.9061,38.1404,22.06,94,37,1.57,RU,1714770852
475,vila velha,-20.3297,-40.2925,80.55,83,0,9.22,BR,1714770853
476,inari,68.906,27.0288,37.6,100,100,1.39,FI,1714770853
477,guapi,2.5708,-77.8854,79.75,92,100,6.17,CO,1714770854
478,barra velha,-26.6322,-48.6847,74.95,90,77,5.01,BR,1714770854
479,tarhuna,32.435,13.6332,61.56,66,3,11.92,LY,1714770855
480,lazaro cardenas,17.9583,-102.2,84.7,55,2,12.37,MX,1714770855
481,lichinga,-13.3128,35.2406,60.89,72,0,12.66,MZ,1714770855
